FLASH,DESS,FISP,PSIF,Class
157,57,65,161,CLU0
171,56,64,138,CLU0
135,61,63,142,CLU0
144,65,83,100,CLU0
127,61,82,82,CLU0
74,54,81,65,CLU0
60,51,99,33,CLU0
26,38,82,58,CLU0
7,24,74,64,CLU0
12,38,23,47,CLU0
22,32,22,25,CLU0
19,35,25,11,CLU0
10,29,17,8,CLU0
19,22,8,8,CLU0
13,14,20,16,CLU0
12,21,18,5,CLU0
20,22,24,19,CLU0
8,19,11,13,CLU0
4,23,4,5,CLU0
9,21,9,11,CLU0
4,24,10,6,CLU0
6,17,8,5,CLU0
14,20,5,3,CLU0
2,18,10,9,CLU0
6,10,2,1,CLU0
3,9,13,14,CLU0
3,9,11,3,CLU0
4,13,10,10,CLU0
3,14,7,6,CLU0
15,19,6,7,CLU0
14,9,5,4,CLU0
7,10,4,5,CLU0
8,8,7,7,CLU0
4,12,8,16,CLU0
4,13,5,8,CLU0
15,13,10,3,CLU0
3,16,11,6,CLU0
7,17,12,6,CLU0
9,13,2,1,CLU0
11,15,10,6,CLU0
13,14,18,8,CLU0
8,72,90,41,CLU0
19,51,96,46,CLU0
18,28,115,58,CLU0
18,24,58,79,CLU0
13,11,2,30,CLU0
2,5,18,18,CLU0
6,13,31,40,CLU0
17,12,28,25,CLU0
16,12,25,37,CLU0
17,9,30,48,CLU0
13,16,12,35,CLU0
9,18,34,21,CLU0
12,21,21,10,CLU0
21,18,36,20,CLU0
15,9,63,14,CLU0
9,22,34,38,CLU0
6,25,47,11,CLU0
0,22,45,11,CLU0
6,13,30,7,CLU0
8,18,31,21,CLU0
8,21,22,24,CLU0
11,16,18,64,CLU0
10,12,17,62,CLU0
12,9,23,34,CLU0
9,13,23,38,CLU0
3,14,16,53,CLU0
4,27,6,49,CLU0
36,30,2,28,CLU0
81,53,27,58,CLU0
101,98,26,63,CLU0
75,100,60,40,CLU0
99,39,146,74,CLU0
48,47,182,89,CLU0
37,25,126,122,CLU0
57,16,51,137,CLU0
92,30,55,55,CLU0
104,37,28,133,CLU0
145,56,31,90,CLU0
141,53,89,26,CLU0
113,62,108,25,CLU0
119,70,126,37,CLU0
106,59,144,89,CLU0
87,46,138,79,CLU0
136,59,143,47,CLU0
135,40,164,123,CLU0
